quad,class,discipline,status,dump_date,craft_name,board,manufacturer,bf_version,mcu,motor_protocol,motor_poles,dshot_bidir,rx_protocol,rx_spi_protocol,elrs_uid,bind_group,video_system,vtx_band,vtx_channel,vtx_power,vtx_freq,cell_min_v,cell_max_v,cell_warn_v,gyro_align,rateprofile,rates_type,rc_rate_rpy,super_rate_rpy,expo_rpy,pilot,note,file
AIR65 R,whoop,,active,2025-10-25,AIR65 R,BETAFPVG473,BEFH,4.5.2,STM32G47X,DSHOT300,12,ON,,,,,,5,8,1,5917,310,440,330,,0:R_Angle,,,,,papfpv,latest,BTFL_cli_backup_AIR65_R_20251025_185001_BETAFPVG473.txt
BETAFPVF4SX1280,whoop,,,2024-07-12,,BETAFPVF4SX1280,BEFH,4.4.0,STM32F411,DSHOT300,12,ON,,,"7,48,91,69,202,173",ELRS-A,,5,8,1,,,,,,0,,,65/65/65,,,latest,BTFL_cli_backup_20240712_144830_BETAFPVF4SX1280.txt
cinelog-flyfish,cinewhoop,cinematic,active,2025-06-19,cinelog-flyfish,GEPRCF411_AIO,GEPR,4.5.2,STM32F411,,,,,,,,,,,,,,,,,0,,,,,papfpv,latest,BTFL_cli_backup_CINELOG-FLYFISH_20250619_113545_GEPRCF411_AIO.txt
CineLog30,cinewhoop,cinematic,retired,2025-06-19,CineLog30,GEPRC_F411_AIO,GEPR,4.2.3,STM32F411,DSHOT600,,ON,RX_SERIAL / CRSF,,,,,,,,,350,,380,CW180,0,,,,,,latest,BTFL_cli_backup_CINELOG30_20250619_105639_GEPRC_F411_AIO.txt
Crocodile5 baby,micro,long-range,retired,2024-08-27,Crocodile5 baby,GEPRC_F722_AIO,GEPC,4.2.4,STM32F7X2,DSHOT300,,ON,RX_SERIAL / CRSF,,,,,5,8,1,5917,,,,CW90,0,,130/130/130,,20/22/20,,latest,BTFL_cli_backup_20240827_170811_GEPRC_F722_AIO.txt
Diamond,whoop,,broken,2025-01-24,Diamond,CRAZYBEEF4SX1280,HAMO,4.4.2,STM32F411,DSHOT300,12,ON,RX_SPI,,"7,48,91,69,202,173",ELRS-A,NTSC,5,8,3,5917,290,440,310,CW180,0:R_Angle,,,,,papfpv,latest,BTFL_cli_backup_DIAMOND_20250124_114502_CRAZYBEEF4SX1280.txt
Ecofree,whoop,,active,2025-11-14,Ecofree,CRAZYBEEF4DX,HAMO,4.4.2,STM32F411,DSHOT300,12,ON,,,,,HD,5,8,1,5917,310,,,CW0,0:R_Angle,,//12,64/64/72,35/35/15,papfpv,latest,BTFL_cli_backup_ECOFREE_20251114_143403_CRAZYBEEF4DX.txt
FLYWOOF7NANO,micro,long-range,active,2024-08-14,FLYWOOF7NANO,FLYWOOF745NANO,FLWO,4.2.11,STM32F745,DSHOT300,,,CRSF,,,,,,,,,350,435,370,,0,,,,,,latest,BTFL_cli_backup_FLYWOOF7NANO_20240814_195011_FLYWOOF745NANO.txt
GEPRC_F722_AIO,5-inch,,,2024-08-27,,GEPRC_F722_AIO,GEPR,4.5.1,STM32F7X2,DSHOT300,,ON,,,,,,5,8,1,5917,,,,,0,,130/130/130,,20/22/20,,latest,BTFL_cli_backup_20240827_173045_GEPRC_F722_AIO.txt
Happish,whoop,,active,2024-12-06,Happish,CRAZYBEEF4SX1280,HAMO,4.4.2,STM32F411,DSHOT300,12,ON,RX_SPI,,"7,48,91,69,202,173",ELRS-A,HD,5,7,2,5880,300,440,320,CW270,0,,20/20/20,50/50/50,50/50/25,papfpv,latest,BTFL_cli_backup_HAPPISH_20241206_103201_CRAZYBEEF4SX1280.txt
HDZERO CRUX35,micro,,active,2025-03-12,HDZERO CRUX35,BETAFLIGHTF4,FPVM,4.4.3,STM32F405,DSHOT300,12,ON,,,,,HD,5,1,2,5658,,,,CW90,0,,,,,papfpv,latest,BTFL_cli_backup_HDZERO_CRUX35_20250312_085252_BETAFLIGHTF4.txt
HOBBYWING_XROTORF7CON,5-inch,,,2024-07-27,,HOBBYWING_XROTORF7CON,HOWI,4.3.0,STM32F7X2,DSHOT600,,ON,RX_SERIAL / CRSF,,,,,,,,,,,,,0,,,,,,latest,BTFL_cli_backup_20240727_155359_HOBBYWING_XROTORF7CON.txt
HOBBYWING_XROTORF7CONV,5-inch,,,2024-07-27,,HOBBYWING_XROTORF7CONV,HOWI,4.5.1,STM32F7X2,,,ON,,,,,,,,,,,,,,0,,,,,,latest,BTFL_cli_backup_20240727_160228_HOBBYWING_XROTORF7CONV.txt
Kronos,5-inch,race,active,2025-08-10,Kronos,HOBBYWING_XROTORF7CONV,HOWI,4.5.1,STM32F7X2,,,ON,,,,,,5,6,1,5843,,,,DEFAULT,0,,,,,papfpv,latest,BTFL_cli_backup_KRONOS_20250810_205306_HOBBYWING_XROTORF7CONV.txt
LS-Ultra,5-inch,race,active,2026-07-21,LS-Ultra,TMOTORF7,TMTR,4.5.2.KAACK_V15,STM32F7X2,,,ON,,,,,,5,8,1,5917,,,,,0:Rate1,BETAFLIGHT,93/80/80,70/70/70,,papfpv,latest,BTFL_cli_backup_LS-ULTRA_20260721_092829_TMOTORF7.txt
LS-Ultra HD,5-inch,race,active,2026-07-21,LS-Ultra HD,HDZERO_HALO,HDZO,4.5.3.KAACK_V18,STM32H743,,,ON,,,,,,5,8,1,5917,,,,,0,BETAFLIGHT,95/80/80,70/70/70,,papfpv,latest,BTFL_cli_backup_LS-ULTRA_HD_20260721_093236_HDZERO_HALO.txt
M6 ECO,whoop,,active,2025-10-25,M6 ECO,CRAZYBEEF4DX,HAMO,4.4.2,STM32F411,DSHOT300,12,ON,,,,,HD,5,2,2,5695,310,440,330,CW0,0:R_Angle,,,,,papfpv,latest,BTFL_cli_backup_M6_ECO_20251025_151707_CRAZYBEEF4DX.txt
M85 HDZero,whoop,,,2024-07-04,M85 HDZero,BETAFPVF4SX1280,BEFH,4.3.1,STM32F411SX1280,DSHOT300,12,ON,RX_SERIAL / CRSF,,"65,245,33,230,58,226",ELRS-B,,5,1,1,5658,,,,,0,,,65/65/65,,,latest,BTFL_cli_dif_all_M85_HDZERO_20240704_160020_BETAFPVF4SX1280.txt
Meteor85,whoop,,broken,2025-01-10,Meteor85,BETAFPVF4SX1280,BEFH,4.4.3,STM32F411,DSHOT300,12,ON,,,"7,48,91,69,202,173",ELRS-A,HD,5,8,1,5917,,,,,0,,,65/65/65,,papfpv,latest,BTFL_cli_backup_METEOR85_20250110_104024_BETAFPVF4SX1280.txt
Mob6 AIO5 1st,whoop,race,active,2025-10-25,Mob6 AIO5 1st,CRAZYBEEF4SX1280,HAMO,4.4.2,STM32F411,DSHOT300,12,ON,RX_SPI,,"7,48,91,69,202,173",ELRS-A,HD,5,8,3,5917,310,440,330,DEFAULT,0,BETAFLIGHT,100/100/100,70/70/70,,papfpv,latest,BTFL_cli_backup_MOB6_AIO5 1ST_20251025_143402_CRAZYBEEF4SX1280.txt
Mob6 AIO5 2nd,whoop,race,active,2025-10-25,Mob6 AIO5 2nd,CRAZYBEEF4SX1280,HAMO,4.5.2,STM32F411,,12,ON,,,"7,48,91,69,202,173",ELRS-A,,5,8,3,5917,310,440,320,DEFAULT,0,BETAFLIGHT,100/100/100,70/70/70,,papfpv,latest,BTFL_cli_backup_MOB6_AIO5 2ND_20251025_140304_CRAZYBEEF4SX1280.txt
Mob6 AIO5 RACE,whoop,,,2024-10-07,Mob6 AIO5 RACE,CRAZYBEEF4SX1280,HAMO,4.4.2,STM32F411,DSHOT300,12,ON,RX_SPI,,"7,48,91,69,202,173",ELRS-A,HD,5,1,2,5658,310,440,320,DEFAULT,0,BETAFLIGHT,100/100/100,70/70/70,,,latest,BTFL_cli_backup_MOB6_AIO5 RACE_20241007_152312_CRAZYBEEF4SX1280.txt
Mob6 HDZERO RACE,whoop,,,2025-07-28,Mob6 HDZERO RACE,CRAZYBEEF4SX1280,HAMO,4.4.2,STM32F411,DSHOT300,12,ON,RX_SPI,,"7,48,91,69,202,173",ELRS-A,HD,5,3,3,5732,310,440,320,DEFAULT,0,BETAFLIGHT,100/100/100,70/70/70,,papfpv,latest,BTFL_cli_backup_MOB6_HDZERO RACE_20250728_143149_CRAZYBEEF4SX1280.txt
Mobula1,whoop,,active,2025-11-12,Mobula1,CRAZYBEEF4SX1280,HAMO,4.4.2,STM32F411,DSHOT300,12,ON,RX_SPI,,"7,48,91,69,202,173",ELRS-A,HD,5,8,3,5917,310,440,330,CW0,0:R_Angle,,20/20/20,50/50/50,50/50/25,papfpv,latest,BTFL_cli_backup_MOBULA1_20251112_135257_CRAZYBEEF4SX1280.txt
QAS JB,5-inch,freestyle,active,2025-06-27,QAS JB,LUXHDAIO-G4,LMNR,4.5.0,STM32G47X,,,,CRSF,,,,,,,,,,,,,0,,,,,papfpv,latest,BTFL_cli_backup_QAS_JB_20250627_102435_LUXHDAIO-G4.txt
Race5,whoop,,,2025-01-24,Race5,CRAZYBEEF4SX1280,HAMO,4.4.2,STM32F411,DSHOT300,12,ON,RX_SPI,,"7,48,91,69,202,173",ELRS-A,HD,5,8,1,5917,310,440,320,DEFAULT,0:R_Angle,BETAFLIGHT,100/100/100,70/70/70,,papfpv,latest,BTFL_cli_backup_RACE5_20250124_113817_CRAZYBEEF4SX1280.txt
XILOF4,5-inch,freestyle,active,2024-10-08,,XILOF4,GEFP,4.2.9,STM32F405,DSHOT600,,ON,CRSF,,,,,5,8,1,5917,,,,,0,,70/70/70,84/84/81,30/30/30,,latest,BTFL_cli_backup_20241008_150506_XILOF4.txt
